taxon_id,nombre_cientifico,nombre_comun,iconic_taxon_name,ruta
341952,Machilus thunbergii,Red Machilus,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/33351900/square.jpeg
57071,Pickeringia montana,chaparral pea,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/76053/square.jpg
27500,Gyrinophilus porphyriticus,Spring Salamander,Amphibia,https://inaturalist-open-data.s3.amazonaws.com/photos/131860207/square.jpg
47454,Triopha catalinae,Clown Dorid,Mollusca,https://inaturalist-open-data.s3.amazonaws.com/photos/1011328/square.JPG
568988,Clematis grata,Charming Clematis,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/62171137/square.jpeg
13494,Gerygone igata,Grey Gerygone,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/463497953/square.jpg
6925,Anas poecilorhyncha,Indian Spot-billed Duck,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/4569448/square.jpeg
338478,Urtica membranacea,Mediterranean Nettle,Plantae,https://static.inaturalist.org/photos/58015757/square.jpeg
147457,Nicrophorus tomentosus,Tomentose Burying Beetle,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/108945061/square.jpeg
202248,Asota heliconia,,Insecta,https://static.inaturalist.org/photos/215477786/square.jpg
57444,Stethophyma grossum,Large Marsh Grasshopper,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/204830831/square.jpeg
31981,Ophisaurus ventralis,Eastern Glass Lizard,Reptilia,https://static.inaturalist.org/photos/429163170/square.jpg
141758,Heliophanus cupreus,Copper Sun Jumper,Arachnida,https://inaturalist-open-data.s3.amazonaws.com/photos/8442871/square.jpg
354352,Erebia euryale,Large Ringlet,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/14585660/square.jpg
55175,Auriscalpium vulgare,Earpick Fungus,Fungi,https://static.inaturalist.org/photos/39248453/square.jpg
58931,Trichostema lanatum,woolly bluecurls,Plantae,https://static.inaturalist.org/photos/18128933/square.jpg
56953,Grindelia camporum,Great Valley gumweed,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/11663/square.jpg
517132,Sclerophrys capensis,Raucous Toad,Amphibia,https://inaturalist-open-data.s3.amazonaws.com/photos/11342003/square.jpeg
83354,Dinocardium robustum,Giant Atlantic Cockle,Mollusca,https://static.inaturalist.org/photos/29361747/square.jpg
5083,Aquila nipalensis,Steppe Eagle,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/2035345/square.jpg
133499,Pardosa amentata,Spotted Wolf Spider,Arachnida,https://static.inaturalist.org/photos/17052224/square.jpg
349253,Fraxinus griffithii,Evergreen tropical ash,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/467356833/square.jpeg
153366,Gamochaeta americana,American Everlasting,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/268739241/square.jpeg
180759,Aphonopelma iodius,Desert Tarantula,Arachnida,https://inaturalist-open-data.s3.amazonaws.com/photos/3118420/square.jpg
792216,Lysimachia foemina,Foemina Blue Pimpernel,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/111291749/square.jpg
438382,Corryocactus melanotrichus,,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/56326508/square.jpg
165543,Muhlenbergia capillaris,Hairawn Muhly,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/101581372/square.jpeg
357658,Ehretia microphylla,Fukien tea tree,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/81967522/square.jpeg
78377,Pelargonium inquinans,Scented Storksbill,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/37562746/square.jpeg
153035,Caloscypha fulgens,Spring Orange Peel Fungus,Fungi,https://inaturalist-open-data.s3.amazonaws.com/photos/4159805/square.
855610,Telmatoblechnum serrulatum,toothed midsorus fern,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/30558737/square.jpg
357816,Ficus erecta,Japanese fig,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/33354734/square.jpeg
